@relation bookkeeper_Train_R2-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute className {null}
@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false}

@data
null,16,3,2,0,1,1,1,0,4,2,5,0,false
null,19,4,3,3,0,1,1,2,4,3,8,0,false
null,4,1,0,0,0,0,0,1,4,2,3,0,false
null,3,1,0,1,0,1,0,0,4,3,8,0,false
null,3,1,0,0,0,0,1,0,4,3,5,0,false
null,16,4,2,0,1,0,0,2,4,2,3,1,false
null,3,1,0,0,0,0,0,1,4,2,3,0,false
null,2,1,0,0,0,0,0,0,4,1,2,0,false
null,3,1,0,0,0,1,10,0,4,2,2,0,false
null,4,2,0,0,0,1,3,4,4,1,3,0,false
null,18,9,3,3,0,0,0,3,4,3,5,3,false
null,19,6,1,0,2,0,0,3,4,3,10,0,false
null,20,3,4,3,1,1,1,6,4,2,6,0,false
null,3,1,0,0,0,1,1,0,4,2,4,0,false
null,3,1,0,0,0,0,0,1,4,1,2,0,false
null,3,1,0,0,0,0,1,1,4,1,1,0,false
null,11,2,2,1,0,0,1,0,4,1,2,0,false
null,3,1,1,0,0,0,1,0,4,2,3,0,false
null,4,1,1,0,0,0,1,0,4,2,3,0,false
null,6,2,1,2,0,0,1,0,4,2,2,0,false
null,92,22,18,11,2,1,0,12,4,3,10,7,false
null,17,9,2,2,0,1,2,1,4,2,3,0,false
null,3,1,0,0,0,1,1,0,4,3,7,0,false
null,3,1,0,0,0,1,0,0,4,3,7,0,false
null,3,1,0,0,0,1,1,1,4,3,10,0,false
null,20,5,4,1,0,1,1,4,4,2,6,1,false
null,40,9,12,7,1,1,1,8,4,2,4,8,false
null,5,2,1,0,0,0,4,0,4,3,6,0,false
null,3,1,0,0,0,0,0,1,4,1,3,0,false
null,3,1,0,0,0,1,0,0,4,2,3,0,false
null,3,1,0,0,0,0,1,0,4,2,3,0,false
null,3,2,0,0,0,0,2,0,4,2,3,0,false
null,9,2,2,0,0,0,0,0,8,1,1,1,false
null,4,2,1,1,0,1,0,1,4,1,1,0,false
null,3,1,0,0,0,0,0,1,4,1,2,0,false
null,3,1,0,0,0,0,0,11,4,2,3,0,false
null,4,1,0,0,0,0,2,1,4,2,3,1,false
null,21,4,5,0,1,1,1,1,4,2,5,0,false
null,6,1,3,0,0,0,0,7,4,1,3,3,false
null,3,1,0,0,0,1,1,0,4,2,2,1,false
null,5,2,0,1,0,0,0,2,4,1,3,0,false
null,3,1,0,0,0,1,4,0,4,1,2,0,false
null,3,1,1,0,0,0,6,0,4,1,1,0,false
null,10,3,1,5,0,0,1,4,4,2,2,0,false
null,4,1,0,0,0,0,2,2,4,2,5,0,false
null,3,1,1,0,0,0,1,0,4,2,2,0,false
null,6,3,0,0,0,2,1,0,8,1,1,1,false
null,3,1,1,0,0,0,1,0,4,2,4,0,false
null,14,3,0,3,1,0,1,0,4,3,10,1,false
null,6,2,0,0,0,0,2,1,4,2,3,0,false
null,3,1,0,0,0,1,4,0,4,2,2,0,false
null,14,3,2,0,1,0,2,1,4,3,7,3,false
null,30,5,7,1,0,0,2,3,4,1,3,3,false
null,3,1,0,0,0,1,0,1,4,1,1,0,false
