@relation openjpa_Train_R2-weka.filters.unsupervised.attribute.Remove-R2-3-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute release {0.9.0}
@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false}

@data
0.9.0,3,1,0,0,0,0,0,0,45,2,5,0,false
0.9.0,3,1,0,0,0,1,0,0,37,2,4,0,false
0.9.0,3,1,0,0,0,1,1,0,37,2,4,0,false
0.9.0,3,1,0,0,0,1,0,2,45,2,4,2,false
0.9.0,9,4,1,0,0,0,0,1,37,2,3,0,false
0.9.0,3,1,0,0,0,1,0,0,45,3,7,0,false
0.9.0,3,1,1,0,0,0,1,1,37,2,6,0,false
0.9.0,4,1,1,0,0,0,0,1,45,3,11,0,false
0.9.0,19,8,7,0,0,0,0,11,37,2,4,1,false
0.9.0,7,6,1,0,0,1,1,11,45,3,8,4,false
0.9.0,4,2,1,0,0,1,3,1,37,2,4,0,false
0.9.0,4,1,0,0,0,1,0,0,45,2,6,0,false
0.9.0,3,1,0,0,0,1,1,0,37,2,4,0,false
0.9.0,3,2,0,0,0,0,0,1,37,3,9,0,false
0.9.0,10,4,4,0,0,2,3,1,45,2,4,0,false
0.9.0,3,1,0,0,0,0,0,0,0,1,6,0,false
0.9.0,4,1,0,0,0,0,0,1,0,1,8,0,false
0.9.0,8,2,0,0,1,2,1,0,45,2,7,2,false
0.9.0,3,1,0,0,0,0,0,0,0,1,6,0,false
0.9.0,3,1,0,0,0,0,0,0,45,3,7,0,false
0.9.0,4,1,1,1,0,1,1,1,37,2,3,3,false
0.9.0,3,1,0,0,0,1,0,1,45,2,5,0,false
0.9.0,4,3,0,0,0,2,0,0,45,3,11,0,false
0.9.0,9,2,0,0,1,1,0,2,45,3,11,0,false
0.9.0,3,2,0,0,0,0,1,1,45,2,6,0,false
0.9.0,8,1,2,0,0,1,0,3,37,2,3,6,false
0.9.0,6,2,3,0,0,0,0,2,45,2,6,0,false
0.9.0,3,1,0,0,0,1,1,1,0,1,4,1,false
0.9.0,10,7,3,0,0,4,2,0,45,2,6,1,false
0.9.0,3,1,0,0,0,0,0,1,0,1,4,0,false
0.9.0,3,1,0,0,0,0,0,3,45,2,7,0,false
0.9.0,4,3,0,0,0,2,0,3,37,2,2,0,false
0.9.0,3,1,0,0,0,1,38,0,45,3,10,0,false
0.9.0,3,1,0,0,0,0,0,1,37,2,3,0,false
0.9.0,3,1,0,0,0,0,0,1,45,2,4,0,false
0.9.0,3,1,0,0,0,0,0,0,37,2,3,0,false
0.9.0,3,1,0,0,0,1,0,0,45,2,5,0,false
0.9.0,4,3,1,0,0,1,1,0,45,2,7,0,false
0.9.0,14,3,2,0,0,0,2,4,37,2,5,1,false
0.9.0,16,4,1,0,0,0,1,0,37,2,3,0,false
0.9.0,3,1,0,0,0,0,0,0,0,1,6,0,false
0.9.0,3,1,0,0,0,1,21,1,0,1,5,0,false
0.9.0,5,2,1,0,0,2,0,2,37,2,4,1,false
0.9.0,3,2,0,0,0,1,0,0,45,1,7,0,false
0.9.0,3,1,0,0,0,1,7,1,45,3,10,0,false
0.9.0,7,2,0,0,0,0,3,0,45,1,4,0,false
0.9.0,12,2,6,1,0,0,0,2,37,2,3,0,false
0.9.0,1,1,0,0,0,0,1,0,0,1,4,0,false
0.9.0,4,2,2,0,0,0,0,0,45,3,10,0,false
0.9.0,1,1,0,0,0,0,2,0,45,1,4,0,false
0.9.0,5,2,2,0,0,1,1,4,45,2,8,1,false
0.9.0,1,1,0,0,0,0,24,0,45,3,6,0,false
0.9.0,5,5,0,1,0,3,4,0,37,2,5,0,false
0.9.0,3,1,0,0,0,1,0,0,45,2,5,0,false
0.9.0,3,1,0,0,0,1,0,0,37,2,6,0,false
0.9.0,3,1,0,0,0,1,0,0,45,3,11,0,false
0.9.0,3,1,1,0,0,0,0,0,37,2,2,0,false
0.9.0,3,2,0,0,0,1,3,0,45,3,13,0,false
0.9.0,3,1,1,0,0,0,0,0,45,3,7,0,false
0.9.0,3,1,0,0,0,0,0,0,0,1,5,0,false
0.9.0,3,1,0,0,0,0,0,0,45,2,5,0,false
0.9.0,3,1,0,0,0,1,1,0,37,2,3,0,false
0.9.0,17,14,1,0,1,1,0,11,0,1,5,1,false
0.9.0,1,1,0,0,0,0,0,0,45,3,8,0,false
0.9.0,1,1,0,0,0,0,2,0,45,2,4,0,false
0.9.0,3,4,0,0,0,0,10,1,45,3,11,0,false
0.9.0,1,1,0,0,0,0,1,0,45,1,4,0,false
0.9.0,3,1,0,0,0,1,0,0,0,1,4,0,false
0.9.0,1,1,0,0,0,0,1,0,45,3,8,0,false
