@relation openjpa_Train_R3-weka.filters.unsupervised.attribute.Remove-R2-3-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute release {0.9.6,0.9.0}
@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false,true}

@data
0.9.6,3,1,0,0,0,0,0,0,168,3,5,0,false
0.9.6,9,2,5,0,0,0,1,0,94,2,2,0,false
0.9.0,2,1,0,0,0,0,0,0,37,2,4,0,false
0.9.0,18,7,0,0,0,7,1,2,0,1,6,0,false
0.9.0,3,1,0,0,0,0,0,3,45,2,7,0,false
0.9.6,3,1,0,0,0,1,0,0,168,1,1,0,false
0.9.0,3,1,0,0,0,1,0,0,0,1,4,0,false
0.9.0,3,1,0,0,0,1,9,0,0,2,9,0,false
0.9.0,3,1,0,0,0,1,0,0,45,2,7,0,false
0.9.0,8,2,0,0,1,1,0,0,0,1,5,0,false
0.9.0,3,1,0,1,0,1,0,2,0,1,7,0,false
0.9.6,1,1,0,0,0,0,1,0,185,1,2,0,false
0.9.6,3,1,0,0,0,1,0,0,185,2,4,0,false
0.9.6,7,3,3,0,0,2,1,0,185,1,1,0,false
0.9.0,3,1,0,0,0,1,0,1,37,2,4,0,false
0.9.6,3,1,0,0,0,1,0,1,185,2,3,0,true
0.9.0,8,3,1,3,0,3,1,2,37,2,6,0,false
0.9.0,11,5,2,0,0,1,0,1,37,2,6,3,false
0.9.6,3,1,1,0,0,0,0,0,185,2,5,0,false
0.9.0,3,1,0,0,0,1,0,1,37,3,6,0,false
0.9.6,8,2,0,0,1,0,0,2,185,2,2,1,true
0.9.0,3,1,0,0,0,1,0,0,45,1,3,0,false
0.9.0,1,1,0,0,0,0,2,0,45,2,7,0,false
0.9.0,3,1,0,0,0,1,0,0,0,1,5,0,false
0.9.6,8,2,0,0,1,2,0,0,168,1,1,0,false
0.9.6,2,1,0,0,0,0,1,0,185,3,6,0,true
0.9.0,3,1,0,0,0,1,23,1,37,2,3,0,false
0.9.6,3,1,0,0,0,1,0,0,185,1,1,0,false
0.9.6,19,8,8,0,0,1,0,0,168,1,1,1,false
0.9.0,1,1,0,0,0,0,1,0,45,1,4,0,false
0.9.0,1,1,0,0,0,0,0,0,45,3,8,0,false
0.9.6,3,1,0,0,0,0,1,1,185,4,14,0,true
0.9.6,2,1,0,0,0,0,0,0,185,2,2,0,false
0.9.0,3,1,0,0,0,0,0,0,0,1,5,0,false
0.9.6,3,1,1,0,0,0,0,0,168,1,2,0,false
0.9.6,3,1,1,0,0,0,0,0,168,1,2,0,false
