Classifier,feature selection,sampling,cost sensitive,feature selection id,precision,recall,auc,kappa
sgd,false,false,true,,0.4471695520747458,0.5595770288858322,0.674524668067697,0.32098304824054263
sgd,false,false,true,,0.5686274509803921,0.0019957332599270525,0.5007539641909391,0.0022768502734868364
sgd,false,false,false,,0.7370572207084468,0.312160407751118,0.6344272495000916,0.32633916077469355
sgd,false,false,true,,0.7047619047619048,0.16262795674050085,0.5691072304634279,0.18350143618264342
sgd,false,false,true,,0.44504538107671265,0.5568172979699775,0.6635387413750343,0.3017253615480299
sgd,false,false,true,,0.7370572207084468,0.312160407751118,0.6344272495000916,0.32633916077469355
sgd,false,false,true,,0.5209128774730997,0.4669051878354204,0.6624100533201345,0.33649194495674833
sgd,false,false,true,,0.41574448942869996,0.6360195444222696,0.6740186413907358,0.2950564661739885
sgd,false,false,true,,0.43855577742997465,0.5592182231092148,0.6642765173195742,0.3005303158166281
sgd,false,false,true,,0.5233925703331433,0.5842345728991961,0.6967948127697506,0.3794386249517972
sgd,false,false,true,,0.5091164095371669,0.6298074142617547,0.7060999269766869,0.38306580424155323
sgd,false,false,true,,0.5696614869921205,0.6222532095975382,0.7197279510964504,0.4273990318496541
sgd,false,false,true,,0.5699294453871573,0.6136942828292542,0.7168041346831387,0.4236672786731857
mlp,false,true,false,,0.416129702764498,0.4281437125748503,0.6649276061311707,0.3217144904983835
mlp,false,true,false,,0.5052793925732589,0.6921826751178287,0.7909319696332975,0.48371118374253247
mlp,false,true,false,,0.4958941165104821,0.7896923076923077,0.877463122392242,0.5158835254133222
mlp,false,true,false,,0.516686727213043,0.5692585895117541,0.8065385628085591,0.43321030494197243
mlp,false,true,false,,0.4275414219548298,0.7697730398899587,0.8191450921600636,0.3567754166843871
mlp,false,true,false,,0.43381890117795163,0.7504861165124057,0.8023111163734402,0.34270689816679956
mlp,false,true,false,,0.6105872622001655,0.5080173422338449,0.8013068032088595,0.4279930684042163
mlp,false,true,false,,0.5956431079894644,0.6277832398357527,0.807639756526055,0.4669801204017978
mlp,false,true,false,,0.5506078699374146,0.7360677020724143,0.8310390714075505,0.4555604876169918
sgd,false,true,false,,0.2967398536260812,0.6676646706586826,0.6987351983150264,0.2617904186575919
sgd,false,true,false,,0.3719269703543022,0.6687794571753616,0.7201495760263603,0.33398053187722015
